Transaction ID,Date,Month,Customer ID,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount
1,24-11-2023,Nov,CUST001,Male,34,Middle Adult,Beauty,3,50,150
2,27-02-2023,Feb,CUST002,Female,26,Young Adult,Clothing,2,500,1000
3,13-01-2023,Jan,CUST003,Male,50,Older Adult,Electronics,1,30,30
4,21-05-2023,May,CUST004,Male,37,Middle Adult,Clothing,1,500,500
5,06-05-2023,May,CUST005,Male,30,Young Adult,Beauty,2,50,100
6,25-04-2023,Apr,CUST006,Female,45,Middle Adult,Beauty,1,30,30
7,13-03-2023,Mar,CUST007,Male,46,Older Adult,Clothing,2,25,50
8,22-02-2023,Feb,CUST008,Male,30,Young Adult,Electronics,4,25,100
9,13-12-2023,Dec,CUST009,Male,63,Older Adult,Electronics,2,300,600
10,07-10-2023,Oct,CUST010,Female,52,Older Adult,Clothing,4,50,200
11,14-02-2023,Feb,CUST011,Male,23,Young Adult,Clothing,2,50,100
12,30-10-2023,Oct,CUST012,Male,35,Middle Adult,Beauty,3,25,75
13,05-08-2023,Aug,CUST013,Male,22,Young Adult,Electronics,3,500,1500
14,17-01-2023,Jan,CUST014,Male,64,Older Adult,Clothing,4,30,120
15,16-01-2023,Jan,CUST015,Female,42,Middle Adult,Electronics,4,500,2000
16,17-02-2023,Feb,CUST016,Male,19,Young Adult,Clothing,3,500,1500
17,22-04-2023,Apr,CUST017,Female,27,Young Adult,Clothing,4,25,100
18,30-04-2023,Apr,CUST018,Female,47,Older Adult,Electronics,2,25,50
19,16-09-2023,Sep,CUST019,Female,62,Older Adult,Clothing,2,25,50
20,05-11-2023,Nov,CUST020,Male,22,Young Adult,Clothing,3,300,900
21,14-01-2023,Jan,CUST021,Female,50,Older Adult,Beauty,1,500,500
22,15-10-2023,Oct,CUST022,Male,18,Young Adult,Clothing,2,50,100
23,12-04-2023,Apr,CUST023,Female,35,Middle Adult,Clothing,4,30,120
24,29-11-2023,Nov,CUST024,Female,49,Older Adult,Clothing,1,300,300
25,26-12-2023,Dec,CUST025,Female,64,Older Adult,Beauty,1,50,50
26,07-10-2023,Oct,CUST026,Female,28,Young Adult,Electronics,2,500,1000
27,03-08-2023,Aug,CUST027,Female,38,Middle Adult,Beauty,2,25,50
28,23-04-2023,Apr,CUST028,Female,43,Middle Adult,Beauty,1,500,500
29,18-08-2023,Aug,CUST029,Female,42,Middle Adult,Electronics,1,30,30
30,29-10-2023,Oct,CUST030,Female,39,Middle Adult,Beauty,3,300,900
31,23-05-2023,May,CUST031,Male,44,Middle Adult,Electronics,4,300,1200
32,04-01-2023,Jan,CUST032,Male,30,Young Adult,Beauty,3,30,90
33,23-03-2023,Mar,CUST033,Female,50,Older Adult,Electronics,2,50,100
34,24-12-2023,Dec,CUST034,Female,51,Older Adult,Clothing,3,50,150
35,05-08-2023,Aug,CUST035,Female,58,Older Adult,Beauty,3,300,900
36,24-06-2023,Jun,CUST036,Male,52,Older Adult,Beauty,3,300,900
37,23-05-2023,May,CUST037,Female,18,Young Adult,Beauty,3,25,75
38,21-03-2023,Mar,CUST038,Male,38,Middle Adult,Beauty,4,50,200
39,21-04-2023,Apr,CUST039,Male,23,Young Adult,Clothing,4,30,120
40,22-06-2023,Jun,CUST040,Male,45,Middle Adult,Beauty,1,50,50
41,22-02-2023,Feb,CUST041,Male,34,Middle Adult,Clothing,2,25,50
42,17-02-2023,Feb,CUST042,Male,22,Young Adult,Clothing,3,300,900
43,14-07-2023,Jul,CUST043,Female,48,Older Adult,Clothing,1,300,300
44,19-02-2023,Feb,CUST044,Female,22,Young Adult,Clothing,1,25,25
45,03-07-2023,Jul,CUST045,Female,55,Older Adult,Electronics,1,30,30
46,26-06-2023,Jun,CUST046,Female,20,Young Adult,Electronics,4,300,1200
47,06-11-2023,Nov,CUST047,Female,40,Middle Adult,Beauty,3,500,1500
48,16-05-2023,May,CUST048,Male,54,Older Adult,Electronics,3,300,900
49,23-01-2023,Jan,CUST049,Female,54,Older Adult,Electronics,2,500,1000
50,24-08-2023,Aug,CUST050,Female,27,Young Adult,Beauty,3,25,75
51,02-10-2023,Oct,CUST051,Male,27,Young Adult,Beauty,3,25,75
52,05-03-2023,Mar,CUST052,Female,36,Middle Adult,Beauty,1,300,300
53,13-07-2023,Jul,CUST053,Male,34,Middle Adult,Electronics,2,50,100
54,10-02-2023,Feb,CUST054,Female,38,Middle Adult,Electronics,3,500,1500
55,10-10-2023,Oct,CUST055,Male,31,Middle Adult,Beauty,4,30,120
56,31-05-2023,May,CUST056,Female,26,Young Adult,Clothing,3,300,900
57,18-11-2023,Nov,CUST057,Female,63,Older Adult,Beauty,1,30,30
58,13-11-2023,Nov,CUST058,Male,18,Young Adult,Clothing,4,300,1200
59,05-07-2023,Jul,CUST059,Male,62,Older Adult,Clothing,1,50,50
60,23-10-2023,Oct,CUST060,Male,30,Young Adult,Beauty,3,50,150
61,09-04-2023,Apr,CUST061,Male,21,Young Adult,Beauty,4,50,200
62,27-12-2023,Dec,CUST062,Male,18,Young Adult,Beauty,2,50,100
63,05-02-2023,Feb,CUST063,Male,57,Older Adult,Electronics,2,25,50
64,24-01-2023,Jan,CUST064,Male,49,Older Adult,Clothing,4,25,100
65,05-12-2023,Dec,CUST065,Male,51,Older Adult,Electronics,4,500,2000
66,27-04-2023,Apr,CUST066,Female,45,Middle Adult,Electronics,1,30,30
67,29-05-2023,May,CUST067,Female,48,Older Adult,Beauty,4,300,1200
68,10-02-2023,Feb,CUST068,Male,25,Young Adult,Electronics,1,300,300
69,30-04-2023,Apr,CUST069,Female,56,Older Adult,Beauty,3,25,75
70,21-02-2023,Feb,CUST070,Female,43,Middle Adult,Clothing,1,300,300
71,14-07-2023,Jul,CUST071,Female,51,Older Adult,Beauty,4,25,100
72,23-05-2023,May,CUST072,Female,20,Young Adult,Electronics,4,500,2000
73,21-08-2023,Aug,CUST073,Male,29,Young Adult,Electronics,3,30,90
74,22-11-2023,Nov,CUST074,Female,18,Young Adult,Beauty,4,500,2000
75,06-07-2023,Jul,CUST075,Male,61,Older Adult,Beauty,4,50,200
76,25-03-2023,Mar,CUST076,Female,22,Young Adult,Electronics,2,50,100
77,09-07-2023,Jul,CUST077,Female,47,Older Adult,Clothing,2,50,100
78,01-07-2023,Jul,CUST078,Female,47,Older Adult,Clothing,3,500,1500
79,18-04-2023,Apr,CUST079,Male,34,Middle Adult,Beauty,1,300,300
80,10-12-2023,Dec,CUST080,Female,64,Older Adult,Clothing,2,30,60
81,17-05-2023,May,CUST081,Male,40,Middle Adult,Electronics,1,50,50
82,26-12-2023,Dec,CUST082,Female,32,Middle Adult,Beauty,4,50,200
83,16-12-2023,Dec,CUST083,Male,54,Older Adult,Electronics,2,50,100
84,28-11-2023,Nov,CUST084,Female,38,Middle Adult,Electronics,3,30,90
85,06-02-2023,Feb,CUST085,Male,31,Middle Adult,Clothing,3,50,150
86,08-11-2023,Nov,CUST086,Male,19,Young Adult,Beauty,3,30,90
87,22-11-2023,Nov,CUST087,Female,28,Young Adult,Beauty,2,50,100
88,29-03-2023,Mar,CUST088,Male,56,Older Adult,Clothing,1,500,500
89,01-10-2023,Oct,CUST089,Female,55,Older Adult,Electronics,4,500,2000
90,06-05-2023,May,CUST090,Female,51,Older Adult,Electronics,1,30,30
91,25-03-2023,Mar,CUST091,Female,55,Older Adult,Electronics,1,500,500
92,25-08-2023,Aug,CUST092,Female,51,Older Adult,Electronics,4,30,120
93,14-07-2023,Jul,CUST093,Female,35,Middle Adult,Beauty,4,500,2000
94,19-05-2023,May,CUST094,Female,47,Older Adult,Beauty,2,500,1000
95,24-11-2023,Nov,CUST095,Female,32,Middle Adult,Clothing,2,30,60
96,19-12-2023,Dec,CUST096,Female,44,Middle Adult,Clothing,2,300,600
97,13-10-2023,Oct,CUST097,Female,51,Older Adult,Beauty,2,500,1000
98,23-04-2023,Apr,CUST098,Female,55,Older Adult,Beauty,2,50,100
99,17-12-2023,Dec,CUST099,Female,50,Older Adult,Electronics,4,300,1200
100,16-06-2023,Jun,CUST100,Male,41,Middle Adult,Electronics,1,30,30
101,29-01-2023,Jan,CUST101,Male,32,Middle Adult,Clothing,2,300,600
102,28-04-2023,Apr,CUST102,Female,47,Older Adult,Beauty,2,25,50
103,17-01-2023,Jan,CUST103,Female,59,Older Adult,Clothing,1,25,25
104,11-06-2023,Jun,CUST104,Female,34,Middle Adult,Beauty,2,500,1000
105,25-07-2023,Jul,CUST105,Female,22,Young Adult,Electronics,1,500,500
106,18-05-2023,May,CUST106,Female,46,Older Adult,Clothing,1,50,50
107,03-02-2023,Feb,CUST107,Female,21,Young Adult,Clothing,4,300,1200
108,19-04-2023,Apr,CUST108,Female,27,Young Adult,Beauty,3,25,75
109,18-10-2023,Oct,CUST109,Female,34,Middle Adult,Electronics,4,500,2000
110,11-06-2023,Jun,CUST110,Male,27,Young Adult,Clothing,3,300,900
111,19-04-2023,Apr,CUST111,Female,34,Middle Adult,Electronics,3,500,1500
112,02-12-2023,Dec,CUST112,Male,37,Middle Adult,Clothing,3,500,1500
113,13-09-2023,Sep,CUST113,Female,41,Middle Adult,Electronics,2,25,50
114,22-07-2023,Jul,CUST114,Female,22,Young Adult,Beauty,4,25,100
115,26-11-2023,Nov,CUST115,Male,51,Older Adult,Clothing,3,500,1500
116,23-08-2023,Aug,CUST116,Female,23,Young Adult,Clothing,1,30,30
117,15-03-2023,Mar,CUST117,Male,19,Young Adult,Electronics,2,500,1000
118,16-05-2023,May,CUST118,Female,30,Young Adult,Electronics,4,500,2000
119,13-03-2023,Mar,CUST119,Female,60,Older Adult,Clothing,3,50,150
120,07-05-2023,May,CUST120,Male,60,Older Adult,Beauty,1,50,50
